filename	date	time	dt_iso	preview
2024-08-01__143__хотела_сначала_рассказать_др_черту_эти_условности.md	2024-08-01	17:34	2024-08-01T17:34:39+08:00	Я хотела сначала рассказать про ДР) но к черту эти условности  сегодня концерт в Питере! Еще один праздник
2024-08-01__155__слоооожно_написать_день_рождения_кажется_был_лучший.md	2024-08-01	19:31	2024-08-01T19:31:32+08:00	Как же слоооожно написать про день рождения. Кажется, это был лучший день за все последние годы.   я не побоялась всех позвать  Это было самое сложное. Многи…
2024-08-02__182__делает_охуенный_концерт_охуенным.md	2024-08-02	05:26	2024-08-02T05:26:44+08:00	Что делает охуенный концерт охуенным.  Ловила себя на том, что хочется сказать спасибо Билайну. Именно они на контракте с нашими постоянными оргами SummerSou…
2024-08-03__193__страшно_устала_иногда_кажется_не_пределе_где-то.md	2024-08-03	02:12	2024-08-03T02:12:10+08:00	Страшно устала; иногда кажется, что ты не на пределе, а уже где-то за.  С поезда кинули чемоданы и поехали подаваться на шенген. На следующий день после конц…
2024-08-03__194__надо_обсудить_психотерапевтом_думает_поводу_инста-диагноза_сразу.md	2024-08-03	15:19	2024-08-03T15:19:04+08:00	🤪 надо обсудить с психотерапевтом, что она думает по поводу инста-диагноза) сразу начала крутить в голове, у кого я что высосала до смерти и чьей жизнью я уп…
2024-08-04__205__лежу_кроватке_грущу.md	2024-08-04	04:11	2024-08-04T04:11:18+08:00	Лежу в кроватке, грущу.  На самом деле из всех состояний грусти это очень знакомое, спираль чувств и состояний, где все надо было сделать иначе, а я сделала …
2024-08-05__216__пишу_дневничок_сапсана_который_везет_питер.md	2024-08-05	03:47	2024-08-05T03:47:04+08:00	Пишу дневничок из Сапсана, который везет меня в Питер.  Только что написала текст в свой другой телеграмм канал, и очень кайфанула от этого процесса. У меня …
2024-08-05__217__последний_раз_когда_пыталась_ним_играть_сказал.md	2024-08-05	03:47	2024-08-05T03:47:04+08:00	Последний раз когда я пыталась с ним играть он сказал: «я не твой басист не указывай мне женщина», но это было до наших отношений)))  Вот в этот день.
2024-08-05__218__кто-нибудь_читал_эту_книгу_начала_странные_ощущения.md	2024-08-05	22:35	2024-08-05T22:35:02+08:00	Кто-нибудь читал эту книгу?) я начала и очень странные ощущения. Как будто Кафка и Веничка Ерофеев 😅 вот не знаю хочу чье-то мнение услышать. Нашла в лофте д…
2024-08-06__230__питерский_хипстерский_день.md	2024-08-06	02:51	2024-08-06T02:51:07+08:00	Питерский хипстерский день  Проснулась в 7 с паранойей что я заболеваю. Вокруг куча больных людей, Шапо вот тоже не поехал в Питер потому что они всей семьей…
2024-08-07__241__утром_проснулась_ощущением_победы_все_таки_не.md	2024-08-07	03:33	2024-08-07T03:33:33+08:00	Утром проснулась с ощущением победы, что я все таки НЕ заболела.  А еще с ощущение что всиооооо, продажи буткэмпа закрыты. Каждый год мы много вкладываем сил…
