filename	date	time	dt_iso	preview
2019-10-16__32__перестать_охуевать_начать_вести_телеграм-канал.md	2019-10-16	15:43	2019-10-16T15:43:23+08:00	Как перестать охуевать и начать вести телеграм-канал.
2019-11-08__33__чужбине_плохо_под_грибами_вижу_себя_сверху.md	2019-11-08	06:14	2019-11-08T06:14:25+08:00	На чужбине мне плохо, как под грибами. Я вижу себя сверху, со стороны, и мне не нравится. Мне жутко не нравлюсь я. В детстве это все было про внешность, но п…
2019-11-08__34__фишка_грибов_моем_случае_была_том_не.md	2019-11-08	06:14	2019-11-08T06:14:25+08:00	Фишка грибов в моем случае была в том, что меня не отпускало. Я осознавала грустную реальность и шла с ней жить. Так же и otherside sadeness остается со мной…
2019-11-13__35__покидаю_петербург_секунду_когда_закрываю_дверь_собой.md	2019-11-13	05:51	2019-11-13T05:51:07+08:00	Я покидаю Петербург. И на секунду, когда я закрываю дверь за собой в темном коридоре я вижу очертания бетонной коробки той квартиры, которую я однажды увидел…
2019-11-13__36__боялась_сдвинуть_что-то_этой_квартире_будто_меняя.md	2019-11-13	05:51	2019-11-13T05:51:07+08:00	Я боялась сдвинуть что-то в этой квартире, как будто меняя вещи местами, я изменю что-то в себе или в своем прошлом. Мне казалось, что она - как картина Дори…
2019-11-17__37__чет_тогда_радовалась_успеху_ep_хи_сборам.md	2019-11-17	16:59	2019-11-17T16:59:10+08:00	Чет я тогда радовалась, то ли успеху EP’хи, то ли сборам на концертах - даже не количеству людей, а геометрической прогрессии. Тарас тогда сделал такое лицо,…
2019-11-17__38__все_ни_было_этой_гонке_конец_всегда.md	2019-11-17	16:59	2019-11-17T16:59:18+08:00	И как бы все ни было в этой гонке, конец всегда один. Мы состаримся друг у друга на глазах. Вся былая актуальность останется только в нашей памяти. Мир захва…
2019-12-01__39__екатеринбурге_мной_хотела_встретится_девушка_не_помню.md	2019-12-01	02:40	2019-12-01T02:40:50+08:00	В Екатеринбурге со мной хотела встретится девушка - я уже не помню, откуда мы знакомы, но такое ощущение, что очень давно. В какой-то момент она стала астрол…
2019-12-01__40__страх_потери_может_отравить_все_чувство_когда.md	2019-12-01	02:40	2019-12-01T02:40:50+08:00	Страх потери может отравить все. Он = чувство, когда у тебя уже нет, когда тебе не хватает.  Даже имея все ты можешь быть нищим, боясь потерять это.  Соединя…
2019-12-01__41__бабуля_обнимая_такая_пухленькая_становишься.md	2019-12-01	17:41	2019-12-01T17:41:40+08:00	Бабуля, обнимая меня: ТАКАЯ ТЫ ПУХЛЕНЬКАЯ СТАНОВИШЬСЯ  я: 😱😱😱
2019-12-01__42__внутри_себя_все_самый_несчастный_ребёнок_которого.md	2019-12-01	17:50	2019-12-01T17:50:31+08:00	Внутри себя я все ещё самый несчастный ребёнок, которого все шеймят за дырку на колготках. И надо дорасти до 30 лет и родить своих троих, чтобы понять, что в…
2019-12-03__43__нас_анонимных_наркоманах_система_наставничества_наставник_нас.md	2019-12-03	04:27	2019-12-03T04:27:24+08:00	У нас в анонимных наркоманах есть система наставничества. Наставник у нас называется «спонсор», ну и соответственно есть «подспонсорные». Нет одного стиля ве…
2019-12-03__44__пришлось_взять_чувство_понести_его_дальше_прощая.md	2019-12-03	04:27	2019-12-03T04:27:24+08:00	Мне пришлось взять это чувство и понести его дальше, прощая взрослых, потому что это не их вина. Прощая не словом, формально, а всем существом. Исцеляя это п…
2019-12-06__49__бывший_муж_работает_успешном_тех_концертном_агентстве.md	2019-12-06	18:51	2019-12-06T18:51:01+08:00	Мой бывший муж работает в успешном тех.концертном агентстве, они делают сцену и свет для всяких молодых и собирающих рэперов, ну и не обязательно рэперов - в…
2019-12-06__50__поэтому_важно_даже_не_относитесь_слабым_самом.md	2019-12-06	18:51	2019-12-06T18:51:02+08:00	Поэтому важно даже не то, как вы относитесь к слабым, а то, что вы на самом деле чувствуете. Так ребенок - это вообще не про искусство - это не слабое сущест…
2020-01-06__51__биполярочка_приподняла_пацаны_надо_нахерачить_всего_пока.md	2020-01-06	04:46	2020-01-06T04:46:04+08:00	Биполярочка приподняла, пацаны. Надо нахерачить всего, пока не отпустило)
2020-01-25__52__послушала_под_бег_серию_подкастов_8_историй.md	2020-01-25	00:46	2020-01-25T00:46:39+08:00	Послушала под бег серию подкастов «8 историй из 90х». Я вообще историю люблю, а тут ещё и в лицах. Лучший эпизод - это про электронную музыку, конечно. «Счас…
2020-03-18__53__началось_все_так_мужчина_уехал_москву_своим.md	2020-03-18	23:05	2020-03-18T23:05:17+08:00	Началось все так: мужчина уехал в Москву по своим делам, а я осталась дома одна (с няней и Ромчиком, если быть точнее), и все посыпалось. Короче, кризис я во…
2020-03-18__54__после_триумфального_исхода_самых_добрых_справедливых_кураторов.md	2020-03-18	23:05	2020-03-18T23:05:18+08:00	После триумфального исхода самых добрых и справедливых кураторов, смотревших на меня с ненавистью, мне не хотелось делать больше ничего для людей. Ни обучени…
2020-03-18__55__очу_оставлять_шлейф_любви_не_негатива.md	2020-03-18	23:05	2020-03-18T23:05:18+08:00	очу оставлять шлейф любви, а не негатива.  Мне хотелось быть выше этого. Но я себе врала. Я не выше этого.
2020-03-18__56__эфирчик_сохраню_навечно_манифест_моей_слабости_все.md	2020-03-18	23:06	2020-03-18T23:06:59+08:00	И эфирчик я тут сохраню навечно, как манифест моей слабости. Я все время строю из себя такие железные яйца, и только близкие знают, как я стекаю на пол. Но в…
2020-03-20__58__поговорили_дашей_хорошо_так_поговорили_жаль_не.md	2020-03-20	02:09	2020-03-20T02:09:48+08:00	Поговорили с Дашей. Хорошо так поговорили. Жаль, не было такого разговора 4 года назад.  Я понимаю, что мои формулировки про то, что «она пересаживала своих …
2020-03-20__59__этой_истории_много_всего_наверное_самая_интересная.md	2020-03-20	02:09	2020-03-20T02:09:48+08:00	В этой истории много всего, и это наверное самая интересная история любви, в которой во взрывной коктейль слилась любовь многих людей. Мы строили вавилонскую…
2020-05-31__60__радость_тихая_привязанность_глубокая_практически_вечная_когда.md	2020-05-31	06:31	2020-05-31T06:31:25+08:00	Моя радость - тихая, моя привязанность - глубокая, и практически вечная, когда люди попадают в мое сердце - у них там бессрочная прописка. Fell in friendship…
2020-06-01__61__многие_люди_думают_самое_главное_остальные_будут.md	2020-06-01	21:49	2020-06-01T21:49:48+08:00	Многие люди думают: «что во мне самое главное? За что остальные будут любить меня?»  Может быть, это профессиональные качества? Или может быть то, что я забо…
2020-06-17__63__mgk_всегда_нравился_может_вообще_не_нравиться.md	2020-06-17	20:49	2020-06-17T20:49:28+08:00	MGK мне всегда нравился, может он вообще не нравиться, а, девочки? Особенно, после сериала Roadies про техкрю рокгруппы. Про Меган Фокс я вообще ничего не зн…
2020-06-25__64__себе_наверное_давно_не_была_мало_отдаю.md	2020-06-25	05:09	2020-06-25T05:09:06+08:00	Очень в себе. Как, наверное, давно не была. Я мало отдаю вовне, но у меня много зарисовок новых песен, я постоянно их пою, когда остаюсь одна.  Я помню, как …
